product_id,product_name,category_id,brand,price,cost,stock_quantity,weight_kg,dimensions,description,created_date
53,Premium Coffee Beans,9,Premium,25.96,15.39,119,1.18,16x11x14,High-quality coffee beans from Premium,2021-06-06
54,Basic Vacuum Cleaner,3,Basic,177.79,88.04,154,4.91,49x35x5,High-quality vacuum cleaner from Basic,2020-07-24
55,BrandA Tire Gauge,8,BrandA,88.59,60.65,37,6.44,25x41x3,High-quality tire gauge from BrandA,2021-02-17
56,Premium Paint Set,10,Premium,60.9,42.24,54,0.64,6x48x15,High-quality paint set from Premium,2020-07-06
57,BrandC Bicycle,4,BrandC,47.99,20.19,103,0.91,50x33x15,High-quality bicycle from BrandC,2021-12-10
58,BrandE Air Freshener,8,BrandE,39.85,16.58,109,3.49,24x15x8,High-quality air freshener from BrandE,2020-12-16
59,Elite Plant Pot,3,Elite,248.24,150.59,41,9.66,32x27x24,High-quality plant pot from Elite,2021-03-07
60,Standard Smartphone,1,Standard,1576.99,913.3,19,7.25,42x44x6,High-quality smartphone from Standard,2020-10-25
61,BrandA Vitamins,6,BrandA,21.85,11.75,37,5.04,25x12x23,High-quality vitamins from BrandA,2021-04-12
62,Standard Chocolate,9,Standard,37.5,26.12,32,6.38,45x42x5,High-quality chocolate from Standard,2019-03-16
63,BrandD Shampoo,6,BrandD,46.66,26.31,42,6.05,18x27x8,High-quality shampoo from BrandD,2020-01-27
64,BrandA Doll,7,BrandA,37.18,18.93,77,8.98,37x12x24,High-quality doll from BrandA,2021-10-19
65,Basic Tire Gauge,8,Basic,70.4,35.6,138,4.32,26x12x7,High-quality tire gauge from Basic,2021-07-28
66,Premium Plant Pot,3,Premium,104.91,60.69,138,4.42,23x47x24,High-quality plant pot from Premium,2021-06-14
67,Deluxe Science Textbook,5,Deluxe,47.52,31.92,25,9.95,11x10x22,High-quality science textbook from Deluxe,2019-02-03
68,BrandB Boots,2,BrandB,106.83,66.82,139,1.09,33x37x20,High-quality boots from BrandB,2019-03-08
69,BrandE Tent,4,BrandE,259.22,120.16,198,4.6,29x12x8,High-quality tent from BrandE,2021-08-19
70,Premium Jeans,2,Premium,194.01,130.8,105,9.09,46x50x25,High-quality jeans from Premium,2021-03-21
71,Premium Fiction Novel,5,Premium,41.29,22.8,68,8.81,21x24x15,High-quality fiction novel from Premium,2020-05-09
72,Basic Coffee Beans,9,Basic,6.47,2.64,95,8.42,38x43x12,High-quality coffee beans from Basic,2020-11-17
73,Deluxe Vacuum Cleaner,3,Deluxe,496.56,234.65,100,2.01,46x30x3,High-quality vacuum cleaner from Deluxe,2021-05-28
74,Basic Yoga Mat,4,Basic,293.77,132.82,81,5.22,32x19x5,High-quality yoga mat from Basic,2019-09-16
75,BrandB Bedding Set,3,BrandB,323.09,205.25,195,6.31,21x40x7,High-quality bedding set from BrandB,2020-10-22
76,BrandB Tea Set,9,BrandB,9.2,4.89,160,7.72,14x6x21,High-quality tea set from BrandB,2019-06-11
77,BrandA Glue Set,10,BrandA,57.74,25.36,116,6.38,27x16x9,High-quality glue set from BrandA,2020-03-30
78,BrandD Smart Watch,1,BrandD,1094.06,518.12,199,8.09,29x21x23,High-quality smart watch from BrandD,2019-04-16
79,BrandB Puzzle,7,BrandB,75.58,44.46,163,9.85,11x12x16,High-quality puzzle from BrandB,2019-09-09
80,BrandC Face Cream,6,BrandC,33.99,22.72,23,0.87,28x18x14,High-quality face cream from BrandC,2019-07-26
81,BrandA Toy Car,7,BrandA,40.13,21.91,160,0.86,48x31x14,High-quality toy car from BrandA,2020-10-04
82,BrandC Hat,2,BrandC,48.26,19.45,45,6.63,45x43x3,High-quality hat from BrandC,2019-08-29
83,Premium Craft Paper,10,Premium,40.42,23.61,139,0.15,38x21x5,High-quality craft paper from Premium,2020-01-30
84,Standard Coffee Beans,9,Standard,6.04,3.34,39,2.24,28x12x8,High-quality coffee beans from Standard,2019-03-02
85,BrandC Speaker,1,BrandC,478.53,295.89,32,2.75,35x17x4,High-quality speaker from BrandC,2020-12-14
86,BrandE Makeup Kit,6,BrandE,50.97,32.76,111,5.18,30x17x10,High-quality makeup kit from BrandE,2019-12-21
87,BrandE Sweater,2,BrandE,192.95,83.14,196,5.92,15x18x25,High-quality sweater from BrandE,2021-09-26
88,Elite Protein Bar,9,Elite,24.07,15.02,81,6.27,43x29x15,High-quality protein bar from Elite,2020-02-14
89,Premium Water Bottle,4,Premium,127.84,75.4,16,4.55,7x37x10,High-quality water bottle from Premium,2021-04-19
90,Deluxe Phone Mount,8,Deluxe,126.6,75.14,135,3.59,6x12x7,High-quality phone mount from Deluxe,2020-10-22
91,BrandC Boots,2,BrandC,81.18,34.24,168,3.78,14x25x5,High-quality boots from BrandC,2019-01-20
92,BrandA Bicycle,4,BrandA,222.12,103.09,145,7.97,19x40x4,High-quality bicycle from BrandA,2021-02-28
93,Deluxe Jacket,2,Deluxe,54.25,25.24,143,2.85,43x47x4,High-quality jacket from Deluxe,2021-05-13
94,Premium Tire Gauge,8,Premium,124.81,57.34,12,8.05,36x7x10,High-quality tire gauge from Premium,2021-05-12
95,BrandB Car Mat,8,BrandB,76.13,44.19,151,3.89,41x6x11,High-quality car mat from BrandB,2019-02-06
96,Deluxe Lamp,3,Deluxe,494.22,332.85,72,1.4,30x7x19,High-quality lamp from Deluxe,2021-12-16
97,Premium Smartphone,1,Premium,1307.31,550.16,24,8.32,31x24x10,High-quality smartphone from Premium,2020-10-11
98,Basic Science Textbook,5,Basic,13.19,8.34,126,6.16,30x24x24,High-quality science textbook from Basic,2021-07-19
99,BrandB Protein Bar,9,BrandB,42.94,29.26,26,0.39,8x5x6,High-quality protein bar from BrandB,2019-08-04
100,Basic Garden Hose,3,Basic,128.64,54.85,185,9.03,28x39x2,High-quality garden hose from Basic,2019-04-18
101,BrandA Jacket,2,BrandA,35.5,24.29,19,2.71,49x44x14,High-quality jacket from BrandA,2020-07-06
102,BrandC Air Freshener,8,BrandC,93.77,40.88,81,8.63,42x31x22,High-quality air freshener from BrandC,2021-07-04
103,BrandB Tent,4,BrandB,168.49,79.55,122,6.65,22x25x25,High-quality tent from BrandB,2021-09-15
104,BrandB Air Freshener,8,BrandB,50.61,24.74,21,3.59,20x47x22,High-quality air freshener from BrandB,2020-02-26
105,BrandB Tent,4,BrandB,45.66,25.04,54,0.23,18x34x14,High-quality tent from BrandB,2020-01-20
106,BrandB Hat,2,BrandB,77.98,50.23,194,5.32,25x24x24,High-quality hat from BrandB,2021-07-18
107,Standard Sketchbook,10,Standard,15.08,6.62,93,3.92,33x44x18,High-quality sketchbook from Standard,2020-02-20
108,BrandD Backpack,4,BrandD,43.88,23.12,175,3.14,41x46x5,High-quality backpack from BrandD,2019-10-29
109,BrandB Toy Car,7,BrandB,62.66,29.59,117,1.95,6x35x23,High-quality toy car from BrandB,2021-12-23
110,Premium Tire Gauge,8,Premium,50.85,34.48,21,3.61,18x14x14,High-quality tire gauge from Premium,2021-10-25
111,Standard Perfume,6,Standard,38.7,20.6,94,1.07,46x29x25,High-quality perfume from Standard,2021-05-15
112,BrandE Cookbook,5,BrandE,17.58,7.96,70,5.34,36x38x15,High-quality cookbook from BrandE,2019-08-12
113,BrandD Coffee Beans,9,BrandD,48.15,22.43,13,8.96,41x22x9,High-quality coffee beans from BrandD,2019-05-15
114,BrandB Bedding Set,3,BrandB,152.22,101.19,179,7.19,30x30x5,High-quality bedding set from BrandB,2020-03-26
115,Elite Craft Paper,10,Elite,21.78,13.85,88,6.41,50x43x11,High-quality craft paper from Elite,2019-01-07
116,BrandC Laptop,1,BrandC,1031.32,629.25,122,7.42,49x20x7,High-quality laptop from BrandC,2020-10-07
117,BrandB Tent,4,BrandB,70.83,35.39,116,1.5,5x47x17,High-quality tent from BrandB,2021-05-26
118,BrandA Speaker,1,BrandA,396.15,189.82,19,1.79,5x43x13,High-quality speaker from BrandA,2021-08-28
119,BrandA Bedding Set,3,BrandA,254.39,120.65,28,0.55,6x41x23,High-quality bedding set from BrandA,2020-08-18
120,Standard Sketchbook,10,Standard,41.71,26.13,198,1.03,24x26x16,High-quality sketchbook from Standard,2021-10-01
121,Standard Chocolate,9,Standard,16.58,9.05,93,4.64,27x24x24,High-quality chocolate from Standard,2020-11-14
122,Deluxe Water Bottle,4,Deluxe,158.2,76.09,132,7.31,6x14x15,High-quality water bottle from Deluxe,2020-03-27
123,Premium Tea Set,9,Premium,27.4,12.97,189,6.99,32x28x8,High-quality tea set from Premium,2019-07-02
124,Basic Sweater,2,Basic,133.17,91.84,160,6.82,33x38x7,High-quality sweater from Basic,2020-06-27
125,Premium Speaker,1,Premium,812.5,426.72,70,3.16,7x42x18,High-quality speaker from Premium,2020-12-04
126,BrandB Makeup Kit,6,BrandB,47.88,25.69,88,2.96,5x36x23,High-quality makeup kit from BrandB,2019-10-29
127,BrandC Hat,2,BrandC,111.79,54.43,142,6.68,24x36x11,High-quality hat from BrandC,2019-05-13
128,BrandA Craft Paper,10,BrandA,38.41,17.87,151,1.32,36x24x2,High-quality craft paper from BrandA,2021-05-31
129,BrandA Chocolate,9,BrandA,7.25,3.2,72,7.87,37x47x19,High-quality chocolate from BrandA,2019-11-14
130,BrandE Jeans,2,BrandE,41.39,25.66,110,5.89,10x23x9,High-quality jeans from BrandE,2019-03-07
131,Premium Protein Bar,9,Premium,16.19,9.77,98,4.28,11x21x11,High-quality protein bar from Premium,2020-09-28
132,Deluxe Action Figure,7,Deluxe,41.64,27.6,148,1.48,17x21x6,High-quality action figure from Deluxe,2021-05-02
133,BrandD Self-Help Book,5,BrandD,22.04,9.38,145,9.28,34x39x7,High-quality self-help book from BrandD,2021-02-08
134,BrandB Biography,5,BrandB,15.54,8.28,80,5.09,48x50x13,High-quality biography from BrandB,2021-08-17
135,Basic Science Textbook,5,Basic,28.66,19.73,118,0.37,40x6x15,High-quality science textbook from Basic,2019-07-01
136,Deluxe Sketchbook,10,Deluxe,68.76,43.73,148,5.17,13x44x19,High-quality sketchbook from Deluxe,2020-08-23
137,Basic Running Shoes,4,Basic,59.63,35.84,118,8.09,38x34x3,High-quality running shoes from Basic,2019-06-23
138,BrandE Board Game,7,BrandE,68.43,40.71,85,5.98,23x41x17,High-quality board game from BrandE,2020-11-09
139,BrandB Coffee Beans,9,BrandB,38.32,23.08,189,7.2,49x18x18,High-quality coffee beans from BrandB,2019-10-23
140,BrandC Glue Set,10,BrandC,22.98,13.85,39,3.08,24x5x17,High-quality glue set from BrandC,2020-02-16
141,BrandB Running Shoes,4,BrandB,25.01,14.53,30,5.25,20x18x5,High-quality running shoes from BrandB,2021-08-28
142,Standard T-Shirt,2,Standard,97.11,40.47,31,3.07,35x16x9,High-quality t-shirt from Standard,2020-06-17
143,Elite Bedding Set,3,Elite,432.47,253.06,110,1.55,6x16x6,High-quality bedding set from Elite,2020-05-07
144,Standard Air Freshener,8,Standard,115.12,64.93,121,4.86,23x47x5,High-quality air freshener from Standard,2021-10-06
145,BrandE Sneakers,2,BrandE,87.37,53.23,27,4.69,32x14x2,High-quality sneakers from BrandE,2020-08-03
146,BrandB Toy Car,7,BrandB,50.37,20.31,77,0.44,46x47x21,High-quality toy car from BrandB,2021-06-29
147,Premium Running Shoes,4,Premium,289.77,156.58,185,4.64,5x15x13,High-quality running shoes from Premium,2021-10-22
148,Premium Tablet,1,Premium,1809.97,1009.09,131,0.72,46x14x13,High-quality tablet from Premium,2020-11-25
149,BrandC Perfume,6,BrandC,33.61,21.13,77,9.24,9x46x17,High-quality perfume from BrandC,2021-02-10
150,Deluxe Perfume,6,Deluxe,68.63,39.31,129,7.78,38x21x6,High-quality perfume from Deluxe,2020-10-25
151,Deluxe Doll,7,Deluxe,35.67,20.88,103,0.77,6x15x9,High-quality doll from Deluxe,2019-07-17
152,Elite Paint Set,10,Elite,70.59,38.32,194,2.39,20x11x7,High-quality paint set from Elite,2021-02-25
153,BrandB Tire Gauge,8,BrandB,23.36,11.1,9,8.48,9x33x13,High-quality tire gauge from BrandB,2019-03-02
154,Premium Shampoo,6,Premium,17.9,9.57,34,9.89,41x40x8,High-quality shampoo from Premium,2020-02-05
155,Elite Chocolate,9,Elite,24.69,12.0,51,7.45,32x38x8,High-quality chocolate from Elite,2019-06-26
156,BrandB Smartphone,1,BrandB,446.9,287.36,1,3.66,31x41x19,High-quality smartphone from BrandB,2019-05-28
157,BrandC Bicycle,4,BrandC,212.65,146.16,186,6.46,36x17x8,High-quality bicycle from BrandC,2021-08-28
158,Premium Bedding Set,3,Premium,191.11,128.03,35,8.04,33x32x22,High-quality bedding set from Premium,2021-02-09
159,Deluxe Face Cream,6,Deluxe,15.19,9.64,76,1.1,36x19x3,High-quality face cream from Deluxe,2020-11-08
160,BrandD Paint Set,10,BrandD,63.03,30.69,64,3.97,27x9x7,High-quality paint set from BrandD,2020-08-12
161,Standard Running Shoes,4,Standard,183.22,120.18,156,5.05,30x44x3,High-quality running shoes from Standard,2019-08-16
162,BrandE Glue Set,10,BrandE,51.77,21.21,107,2.68,26x8x6,High-quality glue set from BrandE,2020-02-23
163,Premium Bedding Set,3,Premium,463.6,277.7,15,2.43,9x41x21,High-quality bedding set from Premium,2019-03-14
164,BrandB Phone Mount,8,BrandB,143.24,83.0,156,9.3,40x35x6,High-quality phone mount from BrandB,2020-07-08
165,BrandB Paint Set,10,BrandB,10.39,5.74,166,3.57,35x24x9,High-quality paint set from BrandB,2019-02-13
166,BrandA Coffee Beans,9,BrandA,39.81,25.61,136,6.12,29x48x23,High-quality coffee beans from BrandA,2019-02-07
167,BrandA Tire Gauge,8,BrandA,67.26,34.52,32,4.35,32x40x6,High-quality tire gauge from BrandA,2019-08-25
168,BrandB Glue Set,10,BrandB,68.11,47.32,94,3.58,26x32x3,High-quality glue set from BrandB,2020-05-02
169,BrandB Yoga Mat,4,BrandB,186.87,87.48,191,7.55,39x41x3,High-quality yoga mat from BrandB,2019-01-31
170,BrandA Tea Set,9,BrandA,8.45,3.7,46,2.9,25x27x21,High-quality tea set from BrandA,2020-05-15
171,BrandC Jacket,2,BrandC,127.13,69.11,31,6.6,9x21x19,High-quality jacket from BrandC,2020-02-26
172,Premium Plant Pot,3,Premium,450.87,296.5,113,7.16,28x40x11,High-quality plant pot from Premium,2020-05-15
173,BrandE Water Bottle,4,BrandE,112.69,63.38,26,0.63,31x50x21,High-quality water bottle from BrandE,2021-09-22
174,BrandB Bicycle,4,BrandB,80.98,35.72,133,2.38,40x18x5,High-quality bicycle from BrandB,2021-02-01
175,BrandA Headphones,1,BrandA,1956.92,1192.75,166,7.67,12x6x17,High-quality headphones from BrandA,2019-03-11
176,BrandE Phone Mount,8,BrandE,94.41,46.27,21,0.69,44x29x17,High-quality phone mount from BrandE,2019-02-08
177,Basic Tire Gauge,8,Basic,74.94,35.02,97,1.93,32x39x3,High-quality tire gauge from Basic,2020-09-16
178,Standard Coffee Maker,3,Standard,386.24,263.09,155,7.57,26x21x20,High-quality coffee maker from Standard,2020-03-19
179,Premium Running Shoes,4,Premium,224.59,131.71,109,7.85,8x11x19,High-quality running shoes from Premium,2021-03-05
180,BrandE Lamp,3,BrandE,432.09,294.42,118,4.3,41x38x10,High-quality lamp from BrandE,2019-11-29
181,Elite Glue Set,10,Elite,57.96,39.26,33,9.09,22x48x10,High-quality glue set from Elite,2019-06-25
182,Standard Tea Set,9,Standard,18.31,10.46,9,6.19,28x22x23,High-quality tea set from Standard,2020-05-28
183,BrandA Doll,7,BrandA,20.45,11.67,82,8.38,16x33x16,High-quality doll from BrandA,2019-02-05
184,BrandA Perfume,6,BrandA,50.91,35.12,122,6.41,40x18x15,High-quality perfume from BrandA,2019-04-30
185,BrandE Paint Set,10,BrandE,68.1,38.51,16,4.46,21x22x10,High-quality paint set from BrandE,2021-10-10
186,BrandD Cookbook,5,BrandD,35.21,15.64,158,6.59,19x12x22,High-quality cookbook from BrandD,2019-03-20
187,Standard Air Freshener,8,Standard,131.18,75.29,10,5.58,19x8x24,High-quality air freshener from Standard,2020-06-14
188,BrandA Puzzle,7,BrandA,58.13,38.21,90,5.45,7x43x9,High-quality puzzle from BrandA,2020-12-17
189,BrandB Fiction Novel,5,BrandB,30.28,13.14,19,2.45,25x41x13,High-quality fiction novel from BrandB,2021-05-01
190,Basic Fiction Novel,5,Basic,45.03,19.94,83,6.11,28x26x15,High-quality fiction novel from Basic,2021-02-06
191,BrandE Glue Set,10,BrandE,49.67,22.26,11,2.98,14x42x2,High-quality glue set from BrandE,2019-08-06
192,Premium Sketchbook,10,Premium,42.22,26.78,130,7.86,50x27x8,High-quality sketchbook from Premium,2021-02-14
193,BrandA Doll,7,BrandA,56.68,25.22,195,9.98,10x9x9,High-quality doll from BrandA,2021-10-28
194,Standard Protein Bar,9,Standard,37.99,24.86,135,8.0,43x35x23,High-quality protein bar from Standard,2021-12-10
195,Elite Bedding Set,3,Elite,172.13,78.92,147,3.0,20x26x9,High-quality bedding set from Elite,2021-01-11
196,Elite Shampoo,6,Elite,36.96,25.57,177,2.49,31x28x4,High-quality shampoo from Elite,2020-12-21
197,Premium Jeans,2,Premium,135.87,79.02,114,7.88,19x41x6,High-quality jeans from Premium,2020-05-16
198,Deluxe Tire Gauge,8,Deluxe,104.9,61.02,73,3.48,12x10x15,High-quality tire gauge from Deluxe,2021-05-12
199,BrandC Self-Help Book,5,BrandC,33.04,19.49,197,2.06,16x34x2,High-quality self-help book from BrandC,2019-12-08
200,Basic Car Mat,8,Basic,50.56,28.64,120,7.45,13x7x15,High-quality car mat from Basic,2019-02-19
201,BrandB Shampoo,6,BrandB,20.18,13.32,99,9.05,27x13x14,High-quality shampoo from BrandB,2020-05-09
202,BrandB Chocolate,9,BrandB,20.16,13.05,86,5.96,44x11x25,High-quality chocolate from BrandB,2019-04-03
203,Premium Laptop,1,Premium,1902.34,1280.66,161,4.55,32x23x17,High-quality laptop from Premium,2019-10-03
204,Deluxe Cookbook,5,Deluxe,46.65,31.77,21,1.61,5x42x20,High-quality cookbook from Deluxe,2021-01-27
205,Basic Protein Bar,9,Basic,19.42,8.8,184,5.92,11x19x11,High-quality protein bar from Basic,2021-10-07
206,BrandA Craft Paper,10,BrandA,45.8,30.65,148,5.13,32x23x12,High-quality craft paper from BrandA,2021-02-25
207,BrandC Puzzle,7,BrandC,76.84,31.7,188,8.84,18x32x18,High-quality puzzle from BrandC,2020-07-23
208,Deluxe Water Bottle,4,Deluxe,111.45,56.19,42,1.27,22x36x16,High-quality water bottle from Deluxe,2020-04-03
209,BrandE Sketchbook,10,BrandE,70.93,33.89,155,7.56,19x47x10,High-quality sketchbook from BrandE,2019-10-16
210,BrandD Jeans,2,BrandD,117.15,64.74,43,0.37,7x39x19,High-quality jeans from BrandD,2020-02-04
211,Elite Car Mat,8,Elite,127.39,51.94,52,2.89,41x32x25,High-quality car mat from Elite,2021-06-30
212,BrandC Self-Help Book,5,BrandC,43.24,21.12,28,7.19,12x33x15,High-quality self-help book from BrandC,2021-10-07
213,BrandB Craft Paper,10,BrandB,65.92,46.01,187,6.72,27x10x25,High-quality craft paper from BrandB,2020-03-31
214,Premium Paint Set,10,Premium,18.5,9.26,116,6.34,37x48x4,High-quality paint set from Premium,2020-10-06
215,Basic Fiction Novel,5,Basic,14.02,8.57,133,3.24,40x47x22,High-quality fiction novel from Basic,2019-03-14
216,BrandD Smartphone,1,BrandD,316.91,162.53,56,6.77,21x35x6,High-quality smartphone from BrandD,2021-09-19
217,Elite Yoga Mat,4,Elite,102.71,47.2,22,9.51,18x5x15,High-quality yoga mat from Elite,2019-05-18
218,Standard Biography,5,Standard,34.45,21.12,9,4.24,21x44x14,High-quality biography from Standard,2020-04-25
219,Elite Science Textbook,5,Elite,31.22,21.43,76,8.42,23x47x17,High-quality science textbook from Elite,2021-09-30
220,Deluxe Protein Bar,9,Deluxe,21.07,11.47,24,2.27,23x31x16,High-quality protein bar from Deluxe,2020-10-28
221,Basic Yoga Mat,4,Basic,56.85,30.67,81,6.64,27x49x14,High-quality yoga mat from Basic,2019-09-20
222,Elite Monitor,1,Elite,1222.06,740.77,7,2.98,37x18x15,High-quality monitor from Elite,2019-05-05
223,BrandE Chocolate,9,BrandE,35.37,18.51,113,4.31,21x8x10,High-quality chocolate from BrandE,2021-09-21
224,Premium Sketchbook,10,Premium,50.63,20.95,114,4.16,41x15x19,High-quality sketchbook from Premium,2020-02-27
225,Deluxe Car Mat,8,Deluxe,97.45,42.76,138,0.3,6x29x4,High-quality car mat from Deluxe,2020-11-13
226,Standard Speaker,1,Standard,173.76,72.07,53,3.68,17x15x19,High-quality speaker from Standard,2021-03-21
227,BrandE Tablet,1,BrandE,1612.51,1085.54,84,4.19,40x20x2,High-quality tablet from BrandE,2019-03-15
228,Standard Smartphone,1,Standard,249.92,129.8,124,0.52,23x24x2,High-quality smartphone from Standard,2020-04-16
229,BrandA Air Freshener,8,BrandA,51.78,22.63,200,3.84,30x13x25,High-quality air freshener from BrandA,2020-07-06
230,BrandB Paint Set,10,BrandB,12.95,7.99,195,7.35,6x5x25,High-quality paint set from BrandB,2019-11-07
231,Deluxe Laptop,1,Deluxe,1595.61,731.24,155,8.61,25x32x18,High-quality laptop from Deluxe,2019-02-17
232,BrandE Puzzle,7,BrandE,43.21,18.58,167,5.8,29x23x15,High-quality puzzle from BrandE,2019-07-10
233,Basic Tablet,1,Basic,1143.94,623.45,179,5.38,20x29x2,High-quality tablet from Basic,2021-10-14
234,Premium Glue Set,10,Premium,59.1,36.31,115,2.32,6x30x9,High-quality glue set from Premium,2021-07-04
235,Elite Science Textbook,5,Elite,32.53,19.29,85,1.52,45x10x5,High-quality science textbook from Elite,2019-12-13
